minimal,reference,predictor,observation,readable_name_eea,sepa_view,sepa_chem,sepa_lims,ea_api,eea_nov_2015,hera_v1,hera_latest
TRUE,TRUE,,,Monitoring site identifier,location_code,location_code,SAMPLING_POINT,site_id,monitoringSiteIdentifier,location_code,location_id
,TRUE,,,,location_description,,DESCRIPTION,,,location_description,location_description
TRUE,TRUE,TRUE,,,national_grid_reference,,,,,national_grid_reference,grid_reference
,TRUE,TRUE,,,easting,,,,,easting,easting
,TRUE,TRUE,,,northing,,,,,northing,northing
,TRUE,TRUE,,,latitude,,,lat,,latitude,latitude
,TRUE,TRUE,,,longitude,,,long,,longitude,longitude
,TRUE,,,,catchment_id,,,,,catchment_id,
,TRUE,,,,catchment,,,Catchment,,catchment,
,TRUE,,,,river_number,,,,,river_number,
,TRUE,,,,river_name,,,,,river_name,
,TRUE,,,,hydro_distance,,,,,hydro_distance,
,TRUE,,,,hydro_code,,,,,hydro_code,
,TRUE,,,,local_authority,,,,,local_authority,
,TRUE,,,,media,media,SAMPLE_MEDIA,,,media,media
TRUE,TRUE,TRUE,,Sampling Time,date_taken,date_taken,SAMPLED_DATE,date,phenomenonTimeSamplingDate,date_taken,date_taken
,TRUE,,,,sampler_id,,,,,sampler_id,
,TRUE,,,,sample_number,sample_no,SAMPLE_NUMBER,,,sample_number,sample_id
,TRUE,,,,test_number,test_number,,,,test_number,
,TRUE,,,,comments,,,,,comments,
,TRUE,,,,purpose,purpose,TEMPLATE,,,purpose,purpose
,TRUE,,,,wfd_purpose,wfd_purpose,,,,wfd_purpose,
,TRUE,,,,analysis_name,,ANALYSIS,obs_type,,analysis_name,parameter
,TRUE,,,,analysis_repname,,,,,analysis_repname,
,TRUE,,,,result_number,,,full_result_id,,result_number,
,TRUE,,,,result_order,,,,,result_order,
,,,TRUE,Determinand Code,determinand_code,determinand_code,,,determinandCode,determinand_code,
TRUE,,,TRUE,,determinand,determinand,REPORTED_NAME,label,,determinand,question
TRUE,,,TRUE,Observed value,result,result,FORMATTED_ENTRY,result.value,resultObservedValue,result,response
,,,TRUE,Unit of measure,units,units_code,UNITS,,resultUom,units,units
,,,TRUE,,taxon,,,,,taxon,label
,TRUE,,,,nbn_code,,,,,nbn_code,taxon_id
,TRUE,,,,maitland_code,,,,,maitland_code,taxon_id
,TRUE,,,,whitton_code,,,,,whitton_code,taxon_id
,,,TRUE,,value,,,,,value,
,,,TRUE,,value_warning,,,,,value_warning,
,TRUE,,,,sample_id,,,,,sample_id,
,TRUE,,,,result_id,,,,,result_id,result_id
,TRUE,TRUE,,,season,,,,,season,season
,,TRUE,,,mean_alkalinity,,,,,mean_alkalinity,mean_alkalinity
TRUE,TRUE,,,,analytical_function,,,,,,quality_element
,TRUE,,,Water body identifier,water_body_id,,,WFD Waterbody ID,waterBodyIdentifier,water_body_id,water_body_id
,,TRUE,,,altitude,,,altitude,,altitude,altitude
,,,,,dist_from_source,,,Distance from Source,,Dist_from_Source,Dist_from_Source
,,,,,,sign,,,,sign,
,,,,,,loq_result,,,,loq_result,
,,,,,,loq_sign,,,,loq_sign,
