Name,Discussed on,Example,Definition,Proposed definition,Comments / feedback / responses,Agreed Definition,What do you want to use it for? Example of Reporting (or Decision-making) that uses this entity.,Is this a core identifier OR just something we need to define properly,Has a spatial attribute?,Also known as,Not to be confused with,Values (examples if long list),Will the values be controlled - and who by? (ie who gets to edit the things on the list?),What are its attributes?,Links to other core Identifiers,Notes - include whether it will map to existing data,Is it already in use in SEPA in this exact form? Where should it be used?,Any issues with use? Where should it not be used?,Who owns?,IAO/External Body,Information Champion/Main contact,Other known interested parties
Notification,12/10/2022,Information being transmitted to SEPA that needs to be recorded / indicates SEPA needs to take action,What people tell us proactively,Information actively supplied to SEPA through a recognised channel pertaining to SEPA business .,Can have multiple notifications for an event,,,,,,,,,,,,,,,,,
Complaint,12/10/2022,Information passed to SEPA that the complainant believes should require action,What people tell us proactively that they're upset about,Notification with an expectation that SEPA will take action (justified or not). Complaints can be valid or invalid.,May not actually be an event. Could be confused with people complaining about SEPA.,,,,,,,,,,,,,,,,,
Incident,12/10/2022,Something occuring that has led to or has the potential to lead to an event.,,An occurence that has the potential to lead to environmental effects,You can have an incident on a site that could have led to harm if they hadn't controlled it quickly enough.,,,,,,,,,,,,,,,,,
Environmental event,12/10/2022,An incident that leads to a negative impact on the environment,,An incident that has led to environmental harm where SEPA is the competent authority.,"Concern about public understanding, thinking SEPA should take action on flood events etc.",,,,,,,,,,,,,,,,,
Flooding Event,12/10/2022,Water covering land it doesn't normally cover.,,Water covering land it doesn't normally cover.,Legal definition.  Natural occurance.  May have no negative impacts on the environment or people.,,,,,,,,,,,,,,,,,
Title,12/10/2022,A short name describing the event so everyone knows which one they are talking about,,A short meaningful description used to aid referring to the event in communication,,,,,,,,,,,,,,,,,,
Measurement,12/10/2022,"Length, area, concentration, temperature, weight, volume, speed etc.",A quantitative entity,A quantitative assessment,"Hydrology would be interested in additional variables - level, depth, flow, wave height, wave period.",,,,,,,,,,,,,,,,,
Observation,12/10/2022,Making a specific qualitative assessment.,,A qualitative assessment,,,,,,,,,,,,,,,,,,
Event ID,12/10/2022,A URN for an individual event,Unique reference for an event,A unique identifier,When does one event become the next?  Do we need different URN for regulatory and flooding events?  Do all measurements/observations need an Event ID?,,,,,,,,,,,,,,,,,
Harm,12/10/2022,An assessment of the degree of negative environmental impact,Defined in Regulatory Reform Act,Defined in Regulatory Reform Act,,,,,,,,,,,,,,,,,,
Impact,12/10/2022,The degree by which circumstances have deviated from normal,Something can have an impact without causing environmental harm. E.g. silt pollution in a river might upset people seeing it without doing ecological damage. This could be considered as consequences of an incident meeting a receptor.,A consequence of an incident that has the potential to lead to societal or environmental effects,"Or from base classification or some other baseline state.  Impact definition and field does not work for flooding -  impacts would be no. properties flooded, impact on human health, road closed etc.  The event severity would be based on a cumulative assessments of impacts.  There will be multiple impacts for a flood event and we will not get direct observations of all of them.

SF: There can be a hierarchy of terms, and we cn add in specific terms that apply to flooding, but we need to define what we mean when we say impact, and then decide whether we can even have one term that can be used for both flooding and regulatory events. Because ""impact"" is currently used for both.",,"E.g. for assessing whether to deploy, classification, reports to PF.",,,,,,,,,,,,,,,
Category,,A classification of the significance of an event used to make decisions about SEPA's response and for recording purposes,Currently Cat 1-4 based on a matrix of environmental and amenity consequences,A shorthand label to convey the seriousness of an event,Incident classification is being reviewed under the Events Rebuild project,,,,,,,,,,,,,,,,,
Media,27/10/2022,The type of environment experiencing the impact,"Water, land, air. The part of the environment impacted",The type of environment experiencing the impact,Term currently in use. Could be mixed up with the sampling definition. Might be better off using receptor.,,,Core,,,,,,,,,,,,,,
Pathway,27/10/2022,The route by which an event reaches a receptor from source,,The route by which an event reaches a receptor from source,,,,,,,,,,,,,,,,,,
Receptor,27/10/2022,The thing that gets impacted by an event,E.g. a building or a person or a community.,The thing that gets impacted by an event,,,,,,,,,,,,,,,,,,
Amenity,27/10/2022,The ability of people to make use of something for reasons that may not be economic,Loss of this can have a psychological and therefore health impact.,A subjective impact on attractiveness or desirability of a place or activity.,"Like being able to enjoy a park, or have the windows in their house open. External definition from BEST tool.",,,,,,,,,,,,,,,,,
Location,27/10/2022,A geographic label to say where something has taken place.,,Too complicated!,"Spatial location (coordinates) would be needed for flooding, in order to continue to support our GIS mapping.",,,Core,,,,,,,,,,,,,,
Source,27/10/2022,The point at which the event originated. The source for the contamination / the origin of the waste,A geographic label to say where a regulatory event has originated.,Origin of the event,"This would have a different definition for flooding, and would never be a point.
This might not have to be a point in space.
A best guess.",,,Core,,,,,,,,,,,,,,
Time observed,27/10/2022,Date and time evidence of an event is observed,,Date and time evidence of an event is observed,"Need separate times for observation, notification, occurence.",,,Core,,,,,,,,,,,,,,
Time notified,27/10/2022,Date and time SEPA receives a notification of an event having been taken place,,Date and time SEPA receives a notification of an event having been taken place,,,,Core,,,,,,,,,,,,,,
Time of occurence,27/10/2022,Date and time the event took place,,Date and time the event took place,,,,Core,,,,,,,,,,,,,,
