Location Code,Media,Date Taken,Sampler Id,Sample Number,Test Number,Comments,Purpose,Wfd Purpose,Analysis Name,Analysis Repname,Result Number,Result Order,Determinand Code,Determinand,Result,Units,Taxon,Nbn Code,Maitland Code,Whitton Code
536475,RIV_BIOTA,12/05/2017,ROWH,3209533,9351020,,Planned,,DIAT_TST,Diatom Taxa,45632053,2,0,Taxon abundance,23,NONE,Nitzschia archibaldii,NBNSYS0100013784,,
536475,RIV_BIOTA,12/05/2017,ROWH,3209533,9351020,,Planned,,DIAT_TST,Diatom Taxa,45632052,1,0,Taxon name,Nitzschia archibaldii,NONE,Nitzschia archibaldii,NBNSYS0100013784,,
536475,RIV_BIOTA,12/05/2017,ROWH,3209533,9351020,,Planned,,DIAT_TST,Diatom Taxa,47279426,3,0,Taxon comment,R,NONE,Nitzschia archibaldii,NBNSYS0100013784,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9351026,,Planned,,DIAT_TST,Diatom Taxa,45632064,2,0,Taxon abundance,6,NONE,Encyonema silesiacum,NBNSYS0100011541,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9351026,,Planned,,DIAT_TST,Diatom Taxa,45632063,1,0,Taxon name,Encyonema silesiacum,NONE,Encyonema silesiacum,NBNSYS0100011541,,
536475,RIV_BIOTA,07/07/2017,ROWH,3235647,9481801,,Planned,,DIAT_TST,Diatom Taxa,46170602,2,0,Taxon abundance,7,NONE,Encyonema silesiacum,NBNSYS0100011541,,
536475,RIV_BIOTA,07/07/2017,ROWH,3235647,9481801,,Planned,,DIAT_TST,Diatom Taxa,46170601,1,0,Taxon name,Encyonema silesiacum,NONE,Encyonema silesiacum,NBNSYS0100011541,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731771,,Planned,,DIAT_TST,Diatom Taxa,47165288,2,0,Taxon abundance,1,NONE,Navicula subhamulata,NBNSYS0100013355,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731771,,Planned,,DIAT_TST,Diatom Taxa,47165287,1,0,Taxon name,Navicula subhamulata,NONE,Navicula subhamulata,NBNSYS0100013355,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731769,,Planned,,DIAT_TST,Diatom Taxa,47165283,1,0,Taxon name,Nitzschia archibaldii,NONE,Nitzschia archibaldii,NBNSYS0100013784,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731770,,Planned,,DIAT_TST,Diatom Taxa,47165286,2,0,Taxon abundance,1,NONE,Navicula capitatoradiata,NBNSYS0100013355,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731770,,Planned,,DIAT_TST,Diatom Taxa,47165285,1,0,Taxon name,Navicula capitatoradiata,NONE,Navicula capitatoradiata,NBNSYS0100013355,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731772,,Planned,,DIAT_TST,Diatom Taxa,47165290,2,0,Taxon abundance,2,NONE,Nitzschia linearis var. tenuis,NBNSYS0100013864,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731772,,Planned,,DIAT_TST,Diatom Taxa,47165289,1,0,Taxon name,Nitzschia linearis var. tenuis,NONE,Nitzschia linearis var. tenuis,NBNSYS0100013864,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731773,,Planned,,DIAT_TST,Diatom Taxa,47165292,2,0,Taxon abundance,5,NONE,Surirella brebissonii,NBNSYS0100015965,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731773,,Planned,,DIAT_TST,Diatom Taxa,47165291,1,0,Taxon name,Surirella brebissonii,NONE,Surirella brebissonii,NBNSYS0100015965,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731774,,Planned,,DIAT_TST,Diatom Taxa,47165294,2,0,Taxon abundance,3,NONE,Nitzschia dissipata,NBNSYS0100013808,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731774,,Planned,,DIAT_TST,Diatom Taxa,47165293,1,0,Taxon name,Nitzschia dissipata,NONE,Nitzschia dissipata,NBNSYS0100013808,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731775,,Planned,,DIAT_TST,Diatom Taxa,47165296,2,0,Taxon abundance,4,NONE,Fragilaria capucina var. gracilis,NHMSYS0000524521,,
536475,RIV_BIOTA,29/05/2017,CACA,3209537,9731775,,Planned,,DIAT_TST,Diatom Taxa,47165295,1,0,Taxon name,Fragilaria capucina var. gracilis,NONE,Fragilaria capucina var. gracilis,NHMSYS0000524521,,
