Name,Holmes Code,Taxon Name,Rmni,Rmhi,Special Taxon,Aquatic Taxon,Plant Fn Gp,Algal Taxon,Authority,Trophic Rank,Nbncode,Changed By,Group Name,Removed,Changed On,Alt Taxon Name,Lmni Lp1,Lmni Lp2,Loch Fg Lp1,Loch Fg Lp2
179,,Chara baltica,,,,,0,N,Bruzelius,,NHMSYS0000457134,TIFO,DEFAULT,F,09 01 2016,,8.598780909,5.829884586,2,2
180,,Chara canescens,3.77,,,,0,N,Desv. and Loisel.,,NHMSYS0000457139,TIFO,DEFAULT,F,09 01 2016,,8.132899167,4.734284295,2,2
181,,Chara connivens,4.78,,,,0,N,Salzm. ex A. Braun,,NHMSYS0000457144,TIFO,DEFAULT,F,09 01 2016,,7.923568531,5.599695195,2,2
182,,Chara contraria var. contraria,4.5,,,,0,N,,,NHMSYS0000457146,TIFO,DEFAULT,F,09 01 2016,,7.468852882,5.055345276,2,2
183,,Chara contraria var. hispidula,,,,,0,N,,,NHMSYS0000457147,TIFO,DEFAULT,F,09 01 2016,,7.35,6.405742764,2,2
184,,Chara curta,,,,,0,N,Nolte ex Kutz.,,NHMSYS0000457152,TIFO,DEFAULT,F,09 01 2016,,6.516237052,4.138234962,2,2
185,220104,Chara globularis,3.299850627,,Y,Y,2,N,,,NBNSYS0000039849,TIFO,DEFAULT,F,09 01 2016,,7.18,6.86064202,2,2
186,,Chara hispida,,,,,0,N,L.,,NBNSYS0000039850,TIFO,DEFAULT,F,09 01 2016,,6.867498164,3.954680626,2,2
187,,Chara intermedia,,,,,0,N,A. Braun,,NHMSYS0000457194,TIFO,DEFAULT,F,09 01 2016,,7.997560722,5.039217074,2,2
188,,Chara rudis,,,,,0,N,(A. Braun) Leonh.,,NHMSYS0000457210,TIFO,DEFAULT,F,09 01 2016,,6.935167386,3.92690817,2,2
31,,Aphanothece,,,,N,,N,,,NBNSYS00000600036,LAMC,DEFAULT,F,07 09 2015,Aphanothece sp.,,,,
41,310100,Aspicilia,,,,,,N,,,NBNSYS0000130616,LAMC,DEFAULT,F,07 09 2015,Aspicilia sp,,,,
191,,Chara virgata var. annulata,,,,,0,N,,,NHMSYS0000457219,TIFO,DEFAULT,F,09 01 2016,,5.62,4.067250447,2,2
192,,Chara virgata var. virgata,,,,,0,N,,,NHMSYS0000457220,TIFO,DEFAULT,F,09 01 2016,,5.31,,2,
193,220111,Chara vulgaris,3.772614523,5.65568205,,Y,2,N,L.,,NBNSYS0000039859,TIFO,DEFAULT,F,09 01 2016,,7.2,5.558296532,2,2
194,,Chara vulgaris var. longibracteata,,,,,0,N,,,NHMSYS0000457233,TIFO,DEFAULT,F,09 02 2016,,8.366445429,,2,
195,,Chara vulgaris var. papillata,,,,,0,N,,,NHMSYS0000457235,TIFO,DEFAULT,F,09 02 2016,,7.205575213,,2,
196,,Chara vulgaris var. vulgaris,,,,,0,N,,,NHMSYS0000457238,TIFO,DEFAULT,F,09 02 2016,,7.352483345,,2,
197,341101,Chiloscyphus pallescens,4.776984526,4.7490255,,N,0,N,,,NHMSYS0000309622,TIFO,DEFAULT,F,09 01 2016,,,,,
198,341102,Chiloscyphus polyanthos,4.047966677,4.76722855,,Y,23,N,(L.) Corda in Opiz corr.Dum.,8,NBNSYS0000035952,TIFO,DEFAULT,F,09 01 2016,,,,,
199,361501,Chrysosplenium alternifolium,,,,,,N,L.,,NBNSYS0000003511,LAMC,DEFAULT,F,09 07 2015,,,,,
200,361500,Chrysosplenium oppositifolium,,,,,,N,L.,,NBNSYS0000131627,LAMC,DEFAULT,F,09 07 2015,,,,,
201,,Cinclidium stygium,,,,,,N,,,NBNSYS0000036649,LAMC,DEFAULT,F,09 07 2015,,,,,
202,321801,Cinclidotus fontinaloides,5.365524749,5.68413185,,Y,22,N,,,NBNSYS0000036442,TIFO,DEFAULT,F,09 02 2016,,5.176843858,,3,
203,321803,Cinclidotus riparius,,,,,,N,(Web. and Mohr) Arnott,,NBNSYS0000036443,LAMC,DEFAULT,F,09 07 2015,,,,,
204,361701,Cirsium dissectum,,,,,,N,L.,,NBNSYS0100010175,LAMC,DEFAULT,F,09 07 2015,,,,,
205,361702,Cirsium oleraceum,,,,,,N,(L.) Scop.,,NBNSYS0000004493,LAMC,DEFAULT,F,09 07 2015,,,,,
206,361703,Cirsium palustre,,,,,,N,(L.) Scop.,,NBNSYS0000004491,LAMC,DEFAULT,F,09 07 2015,,,,,
46,,Audouinella,,,,,,N,,,NHMSYS0000600097,LAMC,DEFAULT,F,07 09 2015,Audouinella sp. (not scoring),,,,
208,,Cladophora aegagropila,5.655975578,6.2267274,,Y,19,N,,,NBNSYS0000174581,TIFO,DEFAULT,F,09 01 2016,,,,,
209,,Cladophora fracta,,,,,,N,,,NHMSYS0000600859,LAMC,DEFAULT,F,09 07 2015,,,,,
53,360700,Barbarea,,,,,,N,,,NBNSYS0000002880,LAMC,DEFAULT,F,07 09 2015,Barbarea sp,,,,
57,,Barbula sardoa,,,,,,N,,,NHMSYS0001682646,LAMC,DEFAULT,F,07 09 2015,,,,,
58,320800,Barbula,,,,,,N,,,NBNSYS0000130778,LAMC,DEFAULT,F,07 09 2015,Barbula sp ,,,,
213,,Claytonia perfoliata,,,,,,N,Donn ex Willd.,,NBNSYS0000003079,LAMC,DEFAULT,F,09 07 2015,,,,,
214,,Claytonia sibirica,,,,,,N,L.,,NBNSYS0000003080,LAMC,DEFAULT,F,09 07 2015,,,,,
62,20200,Batrachospermum,5.462076803,6.0984622,,Y,19,N,,,NHMSYS0000600162,TIFO,DEFAULT,F,09 01 2016,Batrachospermum sp.,3.021653122,1.560851423,,
216,361800,Cochlearia,,,,,,N,,,NBNSYS0000131782,LAMC,DEFAULT,F,09 07 2015,,,,,
217,361801,Cochlearia officinalis,,,,,,N,,,NBNSYS0000100090,LAMC,DEFAULT,F,09 07 2015,,,,,
218,,Collema dichotomum,4.419076219,5.1497337,,Y,3,N,,,NBNSYS0000018437,TIFO,DEFAULT,F,09 01 2016,,,,,
219,310401,Collema flaccidum,,,,,,N,(Ach.) Ach.,,NBNSYS0000018439,LAMC,DEFAULT,F,09 07 2015,,,,,
220,310402,Collema fluviatile,,,,,,N,(Huds.) Steud.,,NBNSYS0000144850,LAMC,DEFAULT,F,09 07 2015,,,,,
221,341302,Cololejeunea rossettiana,,,,,,N,(Mass.) Schiffn. in Engler and Prantl.,,NBNSYS0000036005,LAMC,DEFAULT,F,09 07 2015,,,,,
222,341401,Colura calyptrifolia,,,,,,N,(Hook.) Dum.,,NBNSYS0000036003,LAMC,DEFAULT,F,09 07 2015,,,,,
71,,Blue-green algal film / pelts,5.1,5.2,,Y,3,N,,,NHMSYS0020233865,LAMC,DEFAULT,F,07 09 2015,,,,,
224,361901,Conium maculatum,,,,,,N,L.,,NBNSYS0000003655,LAMC,DEFAULT,F,09 07 2015,,,,,
225,341500,Conocephalum conicum,,,,,,N,L.,,NBNSYS0000131870,LAMC,DEFAULT,F,09 07 2015,,,,,
90,321200,Bryum,,,,,,N,,,NBNSYS0000040138,LAMC,DEFAULT,F,07 09 2015,Bryum sp. (non-scoring),,,,
