location_id,grid_reference,altitude,slope,discharge_category,dist_from_source,chemistry_site,boulders_cobbles,pebbles_gravel,sand,silt_clay,mean_depth,river_width,total,alkalinity,alk_samples,predictor_source,date,original_grid_reference
188,NT 27277 64836,NA,NA,NA,NA,188,60,32,6,2,10,3.9,100,316.5517241,29,sampling_point,2019-01-09,NT 27277 64836
306,NT 23414 86473,NA,NA,NA,NA,306,50,30,10,10,6,0.8,100,730.7021277,94,sampling_point,2019-01-09,NT 23414 86473
318,NS 91803 79181,49,14.3,2,9.7,318,42.5,50,7.5,0,14.5,5.85,100,172.8571429,21,sampling_point,2019-01-09,NS 91803 79181
320,NS 92633 79950,66,16.7,2,11.3,4749,30.33333333,58.66666667,9.75,1.5,16.75,2.341666667,100.25,145.2596154,52,sampling_point,2019-01-09,NS 92633 79950
331,NS 85823 73718,114,6.3,2,11.5,331,25.5,45.75,20,8.75,42.5,5.4,100,143.1416667,144,sampling_point,2019-01-09,NS 85823 73718
335,NS 92784 72703,112,5.9,4,21.2,335,65.71428571,29.42857143,4,0.857142857,24.14285714,9.957142857,100,125.854717,265,sampling_point,2019-01-09,NS 92784 72703
338,NS 96389 75354,170,12.5,5,28.1,338,66.25,28.75,3.25,1.75,24,15.875,100,122.4461538,117,sampling_point,2019-01-09,NS 96389 75354
340,NS 97650 78398,24,4.3,6,34.3,3802,65,32,1.25,1.75,20.5,16.75,100,111.7707763,219,sampling_point,2019-01-09,NS 97650 78398
345,NS 91233 72121,73,8.3,2,6.9,345,80.53333333,16.2,2.666666667,0.6,21.2,5.606666667,100,60.65780347,173,sampling_point,2019-01-09,NS 91233 72121
349,NS 96944 76569,49,14.3,2,6.7,349,60,35,2.5,2.5,14,4.1,100,148.3164384,146,sampling_point,2019-01-09,NS 96944 76569
350,NS 98888 78014,110,16.7,1,5.2,350,45,44.33333333,10.16666667,0.5,16.75,2.825,100,110.0181818,55,sampling_point,2019-01-09,NS 98888 78014
353,NS 98759 67763,83,4,1,1,353,30,57.5,5,7.5,24.5,1.6,100,115.3823529,34,sampling_point,2019-01-09,NS 98759 67763
360,NS 95606 76978,NA,NA,NA,NA,360,75,17.5,5,2.5,7,1.7,100,235,1,sampling_point,2019-01-09,NS 95606 76978
371,NS 97799 67598,135,5.8,1,4.1,1312,1.666666667,15,23.33333333,60,27,1,100,111.5926829,287,sampling_point,2019-01-09,NS 97799 67598
396,NS 92234 58783,157,2.3,2,5.4,396,66.25,26.75,5.75,1.25,24.5,2.825,100,22.4537415,147,sampling_point,2019-01-09,NS 92234 58783
399,NS 99116 62912,NA,NA,NA,NA,399,52.5,41,0,6.5,15.5,14,100,68.92866667,150,sampling_point,2019-01-09,NS 99116 62912
407,NT 12679 68220,50,5.6,2,8.2,407,39.5,45.5,8.75,6.25,18.25,3.875,100,143.8068966,58,sampling_point,2019-01-09,NT 12679 68220
409,NT 14693 69075,37,12.5,2,10.7,409,46.17647059,41.82352941,9.882352941,2.117647059,14.11764706,4.323529412,100,130.1411111,180,sampling_point,2019-01-09,NT 14693 69075
414,NS 90691 64936,69,10,1,4.8,414,23.91666667,49.25,4.75,22.08333333,18.66666667,2.146666667,100,104.9109635,301,sampling_point,2019-01-09,NS 90691 64936
433,NS 90910 64252,NA,NA,NA,NA,433,10,60,30,0,33,1.5,100,27.33333333,3,sampling_point,2019-01-09,NS 90910 64252
437,NT 03715 70863,66,20,1,2.8,437,33.5,52.7,6.5,7.3,13.1,2,100,127.060274,73,sampling_point,2019-01-09,NT 03715 70863
446,NT 10194 72392,NA,NA,NA,NA,446,50,37.5,10,2.5,18,4.6,100,242.2285714,35,sampling_point,2019-01-09,NT 10194 72392
447,NT 10421 72458,NA,NA,NA,NA,447,70,20,7.5,2.5,32,5.9,100,236.526087,253,sampling_point,2019-01-09,NT 10421 72458
449,NT 11788 73408,110,7.1,2,14.9,447,43.08333333,47.16666667,8.083333333,1.5,21,4.3875,99.83333333,236.526087,253,sampling_point,2019-01-09,NT 11788 73408
451,NS 87933 62227,112,7.7,1,3.1,450,40,49.5,8,2.5,13.5,0.75,100,122.5518072,166,sampling_point,2019-01-09,NS 87933 62227
456,NS 98549 65315,80,33.3,3,16.3,456,60.96153846,31.69230769,5.038461538,2.307692308,22.03846154,5.673076923,100,121.6404762,126,sampling_point,2019-01-09,NS 98549 65315
