"","location_id","year","season","Class_TDI4"
"1","100690","2018","1","High"
"2","100690","2018","3","Good"
"3","100690","2022","2","Moderate"
"4","100690","2022","1","Moderate"
"5","100690","2022","3","Moderate"
"6","100690","2022","3","Moderate"
"7","100690",NA,NA,NA
"8","10116","2017","1","Poor"
"9","10116","2017","3","High"
"10","10116","2019","1","Moderate"
"11","10116","2019","3","High"
"12","10116","2021","1","High"
"13","10116","2021","3","High"
"14","10116",NA,NA,NA
"15","101932","2022","2","High"
"16","101932","2022","1","High"
"17","101932","2022","3","High"
"18","101932","2022","4","High"
"19","101932","2022","2","High"
"20","101932","2022","3","High"
"21","101932",NA,NA,NA
"22","10476","2017","1","Poor"
"23","10476","2017","3","Moderate"
"24","10476","2018","1","High"
"25","10476","2018","3","Poor"
"26","10476","2019","1","Moderate"
"27","10476","2019","3","Poor"
"28","10476",NA,NA,NA
"29","10480","2017","1","Moderate"
"30","10480","2017","3","Moderate"
"31","10480",NA,NA,NA
"32","110106","2022","4","Good"
"33","110106","2022","2","Good"
"34","110106","2022","3","High"
"35","110106",NA,NA,NA
"36","11110","2018","1","Good"
"37","11110","2018","3","High"
"38","11110","2021","1","High"
"39","11110","2021","3","Good"
"40","11110",NA,NA,NA
"41","11113","2022","4","Moderate"
"42","11113","2022","3","Moderate"
"43","11113","2022","1","Moderate"
"44","11113","2022","2","Moderate"
"45","11113","2022","3","Poor"
"46","11113",NA,NA,NA
"47","114637","2017","1","High"
"48","114637","2017","3","High"
"49","114637","2019","1","High"
"50","114637","2019","3","Good"
"51","114637",NA,NA,NA
"52","114648","2017","1","Good"
"53","114648","2017","3","Good"
"54","114648","2019","1","Moderate"
"55","114648","2019","3","Moderate"
"56","114648",NA,NA,NA
"57","118688","2017","1","Good"
"58","118688","2017","3","Good"
"59","118688","2019","1","High"
"60","118688","2019","3","Moderate"
"61","118688",NA,NA,NA
"62","119052","2022","3","Moderate"
"63","119052","2022","4","Moderate"
"64","119052","2022","2","Moderate"
"65","119052","2022","1","Moderate"
"66","119052","2022","3","Poor"
"67","119052",NA,NA,NA
"68","120321","2018","1","Moderate"
"69","120321","2018","3","Good"
"70","120321","2022","1","Good"
"71","120321","2022","3","Good"
"72","120321",NA,NA,NA
"73","121241","2022","2","High"
"74","121241","2022","3","High"
"75","121241","2022","1","High"
"76","121241","2022","4","High"
"77","121241","2022","3","Good"
"78","121241",NA,NA,NA
"79","121293","2018","1","High"
"80","121293","2018","3","Good"
"81","121293","2022","2","High"
"82","121293","2022","3","High"
"83","121293","2022","4","High"
"84","121293","2022","1","High"
"85","121293","2022","3","High"
"86","121293",NA,NA,NA
"87","121496","2022","3","Poor"
"88","121496","2022","4","Poor"
"89","121496","2022","1","Poor"
"90","121496","2022","3","Bad"
"91","121496",NA,NA,NA
"92","121572","2017","1","Moderate"
"93","121572","2017","3","Good"
"94","121572","2019","1","Poor"
"95","121572","2019","3","Moderate"
"96","121572","2022","1","Good"
"97","121572","2022","3","Good"
"98","121572","2022","4","Good"
"99","121572","2022","2","Good"
"100","121572","2022","3","Good"
"101","121572",NA,NA,NA
"102","122463","2019","1","Good"
"103","122463","2019","3","Good"
"104","122463","2021","1","High"
"105","122463","2021","3","Good"
"106","122463","2022","3","Good"
"107","122463","2022","1","Good"
"108","122463","2022","2","Good"
"109","122463","2022","3","Good"
"110","122463",NA,NA,NA
"111","122469","2018","1","Good"
"112","122469","2018","3","High"
"113","122469",NA,NA,NA
